work_year,experience_yr,experience_level,employment_type,job_title,job_title_nm,salary,salary_currency,salary_in_usd,employee_residence,remote_ratio,company_location,company_size
2023,3,SE,FT,Data Scientist,1,225000,USD,225000,US,0,US,M
2023,3,SE,FT,Data Scientist,1,156400,USD,156400,US,0,US,M
2023,3,SE,FT,Data Scientist,1,196000,USD,196000,US,0,US,M
2023,3,SE,FT,Data Scientist,1,121000,USD,121000,US,0,US,M
2023,3,SE,FT,Data Scientist,1,219000,USD,219000,US,0,US,M
2023,3,SE,FT,Data Scientist,1,141000,USD,141000,US,0,US,M
2023,3,SE,FT,Data Scientist,1,190000,USD,190000,US,100,US,M
2023,3,SE,FT,Data Scientist,1,160000,USD,160000,US,100,US,M
2023,4,EX,FT,Data Scientist,1,228856,USD,228856,GB,100,GB,M
2023,4,EX,FT,Data Scientist,1,144540,USD,144540,GB,100,GB,M
2023,2,MI,FT,Data Scientist,1,140000,USD,140000,US,100,US,M
2023,2,MI,FT,Data Scientist,1,115000,USD,115000,US,100,US,M
2023,3,SE,FT,Data Scientist,1,281000,USD,281000,CA,0,CA,M
2023,3,SE,FT,Data Scientist,1,181000,USD,181000,CA,0,CA,M
2023,3,SE,FT,Data Scientist,1,192000,USD,192000,US,0,US,M
2023,3,SE,FT,Data Scientist,1,164000,USD,164000,US,0,US,M
2023,1,EN,FT,Data Scientist,1,40000,USD,40000,UZ,100,US,M
2023,3,SE,FT,Data Scientist,1,45000,EUR,48408,ES,0,ES,M
2023,3,SE,FT,Data Scientist,1,36000,EUR,38726,ES,0,ES,M
2023,3,SE,FT,Data Scientist,1,140000,USD,140000,US,0,US,M
2023,3,SE,FT,Data Scientist,1,105000,USD,105000,US,0,US,M
2023,1,EN,FT,Data Scientist,1,130001,USD,130001,US,100,US,M
2023,1,EN,FT,Data Scientist,1,71907,USD,71907,US,100,US,M
2023,3,SE,FT,Data Scientist,1,150000,USD,150000,US,100,US,M
2023,3,SE,FT,Data Scientist,1,130000,USD,130000,US,100,US,M
2023,1,EN,FT,Data Scientist,1,105000,CAD,77700,CA,50,CA,L
2022,2,MI,FT,Data Scientist,1,45000,GBP,55410,FR,100,GB,M
2023,3,SE,FT,Data Scientist,1,277500,USD,277500,US,0,US,M
2023,3,SE,FT,Data Scientist,1,206000,USD,206000,US,0,US,M
2023,3,SE,FT,Data Scientist,1,236500,USD,236500,US,0,US,M
2023,3,SE,FT,Data Scientist,1,176000,USD,176000,US,0,US,M
2023,3,SE,FT,Data Scientist,1,172800,USD,172800,GB,100,GB,M
2023,3,SE,FT,Data Scientist,1,110000,USD,110000,GB,100,GB,M
2023,3,SE,FT,Data Scientist,1,177300,USD,177300,GB,0,GB,M
2023,3,SE,FT,Data Scientist,1,136300,USD,136300,GB,0,GB,M
2023,3,SE,FT,Data Scientist,1,190000,USD,190000,US,0,US,M
2023,3,SE,FT,Data Scientist,1,165000,USD,165000,US,0,US,M
2023,2,MI,FT,Data Scientist,1,189750,USD,189750,US,0,US,M
2023,2,MI,FT,Data Scientist,1,131100,USD,131100,US,0,US,M
2023,3,SE,FT,Data Scientist,1,210000,USD,210000,US,100,US,M
2023,3,SE,FT,Data Scientist,1,160000,USD,160000,US,100,US,M
2023,3,SE,FT,Data Scientist,1,210000,USD,210000,US,100,US,M
2023,3,SE,FT,Data Scientist,1,160000,USD,160000,US,100,US,M
2023,3,SE,FT,Data Scientist,1,210000,USD,210000,US,100,US,M
2023,3,SE,FT,Data Scientist,1,160000,USD,160000,US,100,US,M
2023,3,SE,FT,Data Scientist,1,210000,USD,210000,US,100,US,M
2023,3,SE,FT,Data Scientist,1,160000,USD,160000,US,100,US,M
2023,3,SE,FT,Data Scientist,1,210000,USD,210000,US,100,US,M
2023,3,SE,FT,Data Scientist,1,160000,USD,160000,US,100,US,M
2023,3,SE,FT,Data Scientist,1,210000,USD,210000,US,100,US,M
2023,3,SE,FT,Data Scientist,1,160000,USD,160000,US,100,US,M
2023,3,SE,FT,Data Scientist,1,210000,USD,210000,US,100,US,M
2023,3,SE,FT,Data Scientist,1,160000,USD,160000,US,100,US,M
2023,3,SE,FT,Data Scientist,1,210000,USD,210000,US,100,US,M
2023,3,SE,FT,Data Scientist,1,160000,USD,160000,US,100,US,M
2023,3,SE,FT,Data Scientist,1,236500,USD,236500,US,0,US,M
2023,3,SE,FT,Data Scientist,1,176000,USD,176000,US,0,US,M
2023,2,MI,FT,Data Scientist,1,105000,USD,105000,US,0,US,M
2023,2,MI,FT,Data Scientist,1,102500,USD,102500,US,0,US,M
2023,3,SE,FT,Data Scientist,1,160000,USD,160000,US,0,US,M
2023,3,SE,FT,Data Scientist,1,120000,USD,120000,US,0,US,M
2023,2,MI,FT,Data Scientist,1,170000,USD,170000,US,100,US,M
2023,2,MI,FT,Data Scientist,1,150000,USD,150000,US,100,US,M
2023,3,SE,FT,Data Scientist,1,214000,USD,214000,US,0,US,M
2023,3,SE,FT,Data Scientist,1,164000,USD,164000,US,0,US,M
2023,3,SE,FT,Data Scientist,1,45000,EUR,48408,ES,0,ES,M
2023,3,SE,FT,Data Scientist,1,36000,EUR,38726,ES,0,ES,M
2023,3,SE,FT,Data Scientist,1,280830,USD,280830,CA,100,CA,M
2023,3,SE,FT,Data Scientist,1,173175,USD,173175,CA,100,CA,M
2023,3,SE,FT,Data Scientist,1,195000,USD,195000,US,0,US,M
2023,3,SE,FT,Data Scientist,1,160000,USD,160000,US,0,US,M
2023,3,SE,FT,Data Scientist,1,275300,USD,275300,US,100,US,M
2023,3,SE,FT,Data Scientist,1,183500,USD,183500,US,100,US,M
2023,3,SE,FT,Data Scientist,1,175000,USD,175000,US,100,US,M
2023,3,SE,FT,Data Scientist,1,145000,USD,145000,US,100,US,M
2023,3,SE,FT,Data Scientist,1,175000,USD,175000,US,100,US,M
2023,3,SE,FT,Data Scientist,1,160000,USD,160000,US,100,US,M
2023,3,SE,FT,Data Scientist,1,183924,USD,183924,US,0,US,M
2023,3,SE,FT,Data Scientist,1,125760,USD,125760,US,0,US,M
2023,3,SE,FT,Data Scientist,1,175000,USD,175000,CA,100,CA,M
2023,3,SE,FT,Data Scientist,1,120000,USD,120000,CA,100,CA,M
2023,3,SE,FT,Data Scientist,1,219000,USD,219000,CA,0,CA,M
2023,3,SE,FT,Data Scientist,1,141000,USD,141000,CA,0,CA,M
2023,3,SE,FT,Data Scientist,1,147100,USD,147100,US,0,US,M
2023,3,SE,FT,Data Scientist,1,90700,USD,90700,US,0,US,M
2023,3,SE,FT,Data Scientist,1,170000,USD,170000,US,0,US,M
2023,3,SE,FT,Data Scientist,1,150000,USD,150000,US,0,US,M
2023,3,SE,FT,Data Scientist,1,212750,USD,212750,US,100,US,M
2023,3,SE,FT,Data Scientist,1,185000,USD,185000,US,100,US,M
2023,3,SE,FT,Data Scientist,1,262000,USD,262000,US,100,US,M
2023,3,SE,FT,Data Scientist,1,245000,USD,245000,US,100,US,M
2023,3,SE,FT,Data Scientist,1,275300,USD,275300,US,100,US,M
2023,3,SE,FT,Data Scientist,1,183500,USD,183500,US,100,US,M
2023,3,SE,FT,Data Scientist,1,218500,USD,218500,US,100,US,M
2023,3,SE,FT,Data Scientist,1,199098,USD,199098,US,100,US,M
2023,4,EX,FT,Data Scientist,1,258750,USD,258750,US,0,US,M
2023,4,EX,FT,Data Scientist,1,185000,USD,185000,US,0,US,M
2023,3,SE,FT,Data Scientist,1,172500,USD,172500,US,100,US,M
2023,3,SE,FT,Data Scientist,1,110500,USD,110500,US,100,US,M
2023,3,SE,FT,Data Scientist,1,237000,USD,237000,US,100,US,M
2023,3,SE,FT,Data Scientist,1,201450,USD,201450,US,100,US,M
2023,2,MI,FT,Data Scientist,1,510000,HKD,65051,HK,0,HK,L
2023,3,SE,FT,Data Scientist,1,45000,EUR,48408,ES,0,ES,M
2023,3,SE,FT,Data Scientist,1,36000,EUR,38726,ES,0,ES,M
2023,3,SE,FT,Data Scientist,1,105000,USD,105000,US,0,US,M
2023,3,SE,FT,Data Scientist,1,70000,USD,70000,US,0,US,M
2023,3,SE,FT,Data Scientist,1,150000,USD,150000,US,0,US,M
2023,3,SE,FT,Data Scientist,1,120000,USD,120000,US,0,US,M
2023,3,SE,FT,Data Scientist,1,138784,USD,138784,US,100,US,M
2023,3,SE,FT,Data Scientist,1,83270,USD,83270,US,100,US,M
2023,3,SE,FT,Data Scientist,1,195000,USD,195000,US,0,US,M
2023,3,SE,FT,Data Scientist,1,160000,USD,160000,US,0,US,M
2023,2,MI,FT,Data Scientist,1,55000,GBP,67037,GB,0,GB,M
2023,2,MI,FT,Data Scientist,1,45000,GBP,54848,GB,0,GB,M
2023,3,SE,FT,Data Scientist,1,228000,USD,228000,US,0,US,M
2023,3,SE,FT,Data Scientist,1,186000,USD,186000,US,0,US,M
2023,3,SE,FT,Data Scientist,1,190000,USD,190000,US,0,US,M
2023,3,SE,FT,Data Scientist,1,170000,USD,170000,US,0,US,M
2023,3,SE,FT,Data Scientist,1,224000,USD,224000,CA,0,CA,M
2023,3,SE,FT,Data Scientist,1,176000,USD,176000,CA,0,CA,M
2023,3,SE,FT,Data Scientist,1,250000,USD,250000,US,0,US,M
2023,3,SE,FT,Data Scientist,1,162500,USD,162500,US,0,US,M
2023,3,SE,FT,Data Scientist,1,203500,USD,203500,US,0,US,M
2023,3,SE,FT,Data Scientist,1,152000,USD,152000,US,0,US,M
2023,3,SE,FT,Data Scientist,1,239000,USD,239000,US,0,US,L
2023,3,SE,FT,Data Scientist,1,122900,USD,122900,US,0,US,L
2023,3,SE,FT,Data Scientist,1,237000,USD,237000,US,0,US,M
2023,3,SE,FT,Data Scientist,1,145000,USD,145000,US,0,US,M
2022,3,SE,FT,Data Scientist,1,84000,EUR,88256,ES,100,GB,L
2023,3,SE,FT,Data Scientist,1,175000,USD,175000,US,100,US,M
2023,3,SE,FT,Data Scientist,1,145000,USD,145000,US,100,US,M
2023,3,SE,FT,Data Scientist,1,45000,EUR,48408,ES,0,ES,M
